"Dataset","Tissue","Species","Method","LLMBackend","LLMModelID","Replicate","RefinementSelector","RefinementBudgetK","Bin","BinLower","BinUpper","N","Coverage","MeanConfidence","Accuracy","AbsCalibrationError"
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,5,0.4,0.5,1,0.0625,0.5,0,0.5
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,6,0.5,0.6,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,7,0.6,0.7,2,0.125,0.7,0,0.7
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,8,0.7,0.8,2,0.125,0.8,0.5,0.3
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,9,0.8,0.9,3,0.1875,0.9,1,0.1
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,10,0.9,1,8,0.5,0.96875,1,0.03125
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,1,0,0.1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,5,0.4,0.5,1,0.0625,0.459,0,0.459
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,6,0.5,0.6,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,7,0.6,0.7,1,0.0625,0.682,0,0.682
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,8,0.7,0.8,4,0.25,0.7415,0.5,0.2415
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,9,0.8,0.9,9,0.5625,0.823444444444444,1,0.176555555555556
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,10,0.9,1,1,0.0625,0.951,1,0.049
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,1,0,0.1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,5,0.4,0.5,1,0.0625,0.459,0,0.459
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,6,0.5,0.6,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,7,0.6,0.7,1,0.0625,0.682,0,0.682
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,8,0.7,0.8,4,0.25,0.7415,0.5,0.2415
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,9,0.8,0.9,9,0.5625,0.823444444444444,1,0.176555555555556
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,10,0.9,1,1,0.0625,0.951,1,0.049
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,1,0,0.1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,5,0.4,0.5,1,0.0625,0.459,0,0.459
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,6,0.5,0.6,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,7,0.6,0.7,1,0.0625,0.682,0,0.682
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,8,0.7,0.8,4,0.25,0.7415,0.5,0.2415
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,9,0.8,0.9,9,0.5625,0.823444444444444,1,0.176555555555556
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,10,0.9,1,1,0.0625,0.951,1,0.049
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,1,0,0.1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,5,0.4,0.5,1,0.0625,0.459,0,0.459
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,6,0.5,0.6,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,7,0.6,0.7,1,0.0625,0.682,0,0.682
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,8,0.7,0.8,4,0.25,0.7415,0.5,0.2415
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,9,0.8,0.9,9,0.5625,0.823444444444444,1,0.176555555555556
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,10,0.9,1,1,0.0625,0.951,1,0.049
"BaronPancreas","Pancreas","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,1,0,0.1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,5,0.4,0.5,1,0.0625,0.459,0,0.459
"BaronPancreas","Pancreas","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,6,0.5,0.6,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,7,0.6,0.7,1,0.0625,0.682,0,0.682
"BaronPancreas","Pancreas","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,8,0.7,0.8,4,0.25,0.7415,0.5,0.2415
"BaronPancreas","Pancreas","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,9,0.8,0.9,9,0.5625,0.823444444444444,1,0.176555555555556
"BaronPancreas","Pancreas","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,10,0.9,1,1,0.0625,0.951,1,0.049
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",16,1,0,0.1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",16,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",16,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",16,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",16,5,0.4,0.5,1,0.0625,0.459,0,0.459
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",16,6,0.5,0.6,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",16,7,0.6,0.7,1,0.0625,0.682,0,0.682
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",16,8,0.7,0.8,4,0.25,0.7415,0.5,0.2415
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",16,9,0.8,0.9,9,0.5625,0.823444444444444,1,0.176555555555556
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",16,10,0.9,1,1,0.0625,0.951,1,0.049
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,1,0,0.1,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,2,0.1,0.2,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,3,0.2,0.3,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,4,0.3,0.4,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,5,0.4,0.5,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,6,0.5,0.6,1,0.0909090909090909,0.6,0,0.6
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,7,0.6,0.7,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,8,0.7,0.8,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,9,0.8,0.9,2,0.181818181818182,0.9,1,0.1
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,10,0.9,1,8,0.727272727272727,0.95,0.875,0.075
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,1,0,0.1,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,2,0.1,0.2,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,3,0.2,0.3,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,4,0.3,0.4,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,5,0.4,0.5,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,6,0.5,0.6,1,0.0909090909090909,0.6,0,0.6
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,7,0.6,0.7,0,0,NA,NA,NA
